,Datum_Eerste_Storting,Datum_Verkoop,Investering Totaal,Verkoop Totaal,Winst Pct,Eff Interest
2270,2020-03-10,2020-10-20,5.0,5.202441951180409,4.048839023608188,9.3515625
2271,2020-03-10,2020-09-21,4.0,4.072948745275591,1.8237186318897702,4.5625
2272,2020-03-10,2020-08-21,3.0,3.155571357278884,5.185711909296131,15.03125
2273,2020-03-10,2020-07-20,2.0,2.109100612611037,5.45503063055186,18.4375
2274,2020-03-10,2020-06-22,1.0,1.0260392930584115,2.603929305841146,9.44140625
2275,2020-03-10,2020-05-20,,,,
2276,2020-03-10,2020-04-20,,,,
2277,2020-03-10,2020-03-20,,,,
2310,2020-02-10,2022-12-20,32.0,29.73307162768348,-7.084151163489127,-4.6171875
2311,2020-02-10,2022-11-21,31.0,29.712624386404766,-4.152824559984626,-2.74609375
2312,2020-02-10,2022-10-20,30.0,27.689384825289473,-7.702050582368424,-5.3046875
2313,2020-02-10,2022-09-20,29.0,27.6184270155878,-4.764044773835167,-3.341796875
2314,2020-02-10,2022-08-22,28.0,28.121694739698075,0.4346240703502678,0.30859375
2315,2020-02-10,2022-07-20,27.0,26.332537614651052,-2.472082908699807,-1.83203125
2316,2020-02-10,2022-06-20,26.0,24.09205285371113,-7.338258254957188,-5.6708984375
2317,2020-02-10,2022-05-20,25.0,24.306534166857745,-2.7738633325690216,-2.19140625
2318,2020-02-10,2022-04-20,24.0,24.959397330526116,3.9974888771921493,3.216796875
2319,2020-02-10,2022-03-21,23.0,24.14221892188692,4.966169225595298,4.126953125
2320,2020-02-10,2022-02-21,22.0,22.976796953735292,4.439986153342236,3.806640625
2321,2020-02-10,2022-01-20,21.0,22.92003091075342,9.143004336921056,8.115234375
2322,2020-02-10,2021-12-20,20.0,22.196532902990455,10.982664514952276,10.134765625
2323,2020-02-10,2021-11-22,19.0,21.83813213916126,14.937537574532948,14.220703125
2324,2020-02-10,2021-10-20,18.0,20.057023475105634,11.4279081950313,11.494140625
2325,2020-02-10,2021-09-20,17.0,18.686523691291175,9.920727595830439,10.443359375
2326,2020-02-10,2021-08-20,16.0,17.890718622681725,11.816991391760778,13.06640625
2327,2020-02-10,2021-07-20,15.0,16.60589393789504,10.705959585966932,12.482421875
2328,2020-02-10,2021-06-21,14.0,15.334726444235066,9.53376031596476,11.66015625
2329,2020-02-10,2021-05-20,13.0,13.910304908483917,7.002345449876287,9.09765625
2330,2020-02-10,2021-04-20,12.0,13.012205997568023,8.435049979733522,11.609375
2331,2020-02-10,2021-03-22,11.0,11.800523411127362,7.277485555703287,10.578125
2332,2020-02-10,2021-02-22,10.0,10.704322884072589,7.043228840725888,10.8125
2333,2020-02-10,2021-01-20,9.0,9.668049513186585,7.42277236873983,12.369140625
2334,2020-02-10,2020-12-21,8.0,8.326505646126748,4.081320576584346,7.23828125
2335,2020-02-10,2020-11-20,7.0,7.331984812518115,4.742640178830219,9.14453125
2336,2020-02-10,2020-10-20,6.0,6.15451670968524,2.575278494753993,5.37890625
2337,2020-02-10,2020-09-21,5.0,4.994493079094797,-0.11013841810406433,-0.24609375
2338,2020-02-10,2020-08-21,4.0,4.094921111460271,2.373027786506765,5.9921875
2339,2020-02-10,2020-07-20,3.0,3.0442566271378055,1.4752209045935178,4.1953125
2340,2020-02-10,2020-06-22,2.0,1.9382375785044672,-3.0881210747766397,-9.2109375
2341,2020-02-10,2020-05-20,1.0,0.8838725696074313,-11.612743039256868,64.0
2342,2020-02-10,2020-04-20,,,,
2343,2020-02-10,2020-03-20,,,,
2344,2020-02-10,2020-02-20,,,,
2376,2020-01-10,2022-12-20,33.0,30.716682661818762,-6.9191434490340535,-4.3935546875
2377,2020-01-10,2022-11-21,32.0,30.726829701935685,-3.978657181450984,-2.5615234375
2378,2020-01-10,2022-10-20,31.0,28.66495630784395,-7.5323990069549955,-5.046875
2379,2020-01-10,2022-09-20,30.0,28.625081506077787,-4.583061646407375,-3.125
2380,2020-01-10,2022-08-22,29.0,29.183795256135912,0.6337767452962497,0.4375
2381,2020-01-10,2022-07-20,28.0,27.363848359077302,-2.271970146152493,-1.6328125
2382,2020-01-10,2022-06-20,27.0,25.069701424060042,-7.149253984962805,-5.357421875
2383,2020-01-10,2022-05-20,26.0,25.330562885839985,-2.5747581313846735,-1.9697265625
2384,2020-01-10,2022-04-20,25.0,26.051285729568818,4.205142918275271,3.26953125
2385,2020-01-10,2022-03-21,24.0,25.239312258579197,5.163801077413321,4.140625
2386,2020-01-10,2022-02-21,23.0,24.062014235508816,4.617453197864416,3.8173828125
2387,2020-01-10,2022-01-20,22.0,24.04720536597448,9.30547893624764,7.9453125
2388,2020-01-10,2021-12-20,21.0,23.33709846540386,11.129040311446946,9.861328125
2389,2020-01-10,2021-11-22,20.0,23.012444269152443,15.062221345762214,13.740234375
2390,2020-01-10,2021-10-20,19.0,21.188107742645627,11.516356540240144,11.08203125
2391,2020-01-10,2021-09-20,18.0,19.795102101670317,9.972789453723982,10.029296875
2392,2020-01-10,2021-08-20,17.0,19.011930614116412,11.83488596539066,12.466796875
2393,2020-01-10,2021-07-20,16.0,17.70943846491356,10.683990405709753,11.83984375
2394,2020-01-10,2021-06-21,15.0,16.419454999468723,9.463033329791488,10.978515625
2395,2020-01-10,2021-05-20,14.0,14.963877146801085,6.884836762864894,8.46484375
2396,2020-01-10,2021-04-20,13.0,14.072718152751296,8.251678098086893,10.70703125
2397,2020-01-10,2021-03-22,12.0,12.842854939027601,7.023791158563346,9.595703125
2398,2020-01-10,2021-02-22,11.0,11.73866373304601,6.715124845872822,9.65625
2399,2020-01-10,2021-01-20,10.0,10.700313274365575,7.003132743655752,10.8671875
2400,2020-01-10,2020-12-21,9.0,9.320208883310272,3.5578764812252452,5.85546875
2401,2020-01-10,2020-11-20,8.0,8.328571536286853,4.1071442035856665,7.296875
2402,2020-01-10,2020-10-20,7.0,7.125347544803013,1.7906792114716146,3.421875
2403,2020-01-10,2020-09-21,6.0,5.934192033623075,-1.0967994396154108,-2.234375
2404,2020-01-10,2020-08-21,5.0,5.052776256944589,1.0555251388917775,2.38671875
2405,2020-01-10,2020-07-20,4.0,3.997835415398292,-0.054114615042699654,-0.13671875
2406,2020-01-10,2020-06-22,3.0,2.868406365505349,-4.386454483155037,-11.53515625
2407,2020-01-10,2020-05-20,2.0,1.785157618102204,-10.742119094889802,-30.1953125
2408,2020-01-10,2020-04-20,1.0,0.878241592140068,-12.175840785993197,64.0
2409,2020-01-10,2020-03-20,,,,
2410,2020-01-10,2020-02-20,,,,
2411,2020-01-10,2020-01-20,,,,
2442,2019-12-10,2022-12-20,34.0,31.725635062459624,-6.689308639824636,-4.1396484375
2443,2019-12-10,2022-11-21,33.0,31.76716460296416,-3.735864839502541,-2.341796875
2444,2019-12-10,2022-10-20,32.0,29.66566202906985,-7.294806159156719,-4.7578125
2445,2019-12-10,2022-09-20,31.0,29.657671045588874,-4.330093401326215,-2.87109375
2446,2019-12-10,2022-08-22,30.0,30.273259311125834,0.9108643704194463,0.609375
2447,2019-12-10,2022-07-20,29.0,28.421729386520582,-1.9940365982048904,-1.3916015625
2448,2019-12-10,2022-06-20,28.0,26.0725377463506,-6.883793763033566,-5.005859375
2449,2019-12-10,2022-05-20,27.0,26.380974276609535,-2.292687864409128,-1.69921875
2450,2019-12-10,2022-04-20,26.0,27.171305110415375,4.50501965544375,3.38671875
2451,2019-12-10,2022-03-21,25.0,26.364670675034827,5.458682700139307,4.228515625
2452,2019-12-10,2022-02-21,24.0,25.175190627053603,4.896627612723344,3.90625
2453,2019-12-10,2022-01-20,23.0,25.203419899025285,9.580086517501238,7.876953125
2454,2019-12-10,2021-12-20,22.0,24.507049108847966,11.395677767490753,9.7080078125
2455,2019-12-10,2021-11-22,21.0,24.217010913423465,15.319099587730786,13.408203125
2456,2019-12-10,2021-10-20,20.0,22.34833281887696,11.741664094384792,10.828125
2457,2019-12-10,2021-09-20,19.0,20.93224148871874,10.169692045888112,9.787109375
2458,2019-12-10,2021-08-20,18.0,20.162029068816913,12.011272604538409,12.076171875
2459,2019-12-10,2021-07-20,17.0,18.84141427761706,10.831848691865051,11.4375
2460,2019-12-10,2021-06-21,16.0,17.532130073115937,9.575812956974605,10.564453125
2461,2019-12-10,2021-05-20,15.0,16.044593204478485,6.963954696523231,8.125
2462,2019-12-10,2021-04-20,14.0,15.16055292457413,8.289663746958073,10.173828125
2463,2019-12-10,2021-03-22,13.0,13.912040685060989,7.015697577392219,9.04296875
2464,2019-12-10,2021-02-22,12.0,12.799652931454197,6.663774428784978,9.015625
2465,2019-12-10,2021-01-20,11.0,11.759171871709107,6.901562470082791,10.02734375
2466,2019-12-10,2020-12-21,10.0,10.339513498535865,3.395134985358652,5.216796875
2467,2019-12-10,2020-11-20,9.0,9.350833927108084,3.8981547456453804,6.4296875
2468,2019-12-10,2020-10-20,8.0,8.121190482422527,1.5148810302815896,2.67578125
2469,2019-12-10,2020-09-21,7.0,6.898101021167651,-1.4556996976049825,-2.7265625
2470,2019-12-10,2020-08-21,6.0,6.035309204383733,0.588486739728881,1.2109375
2471,2019-12-10,2020-07-20,5.0,4.975981831233735,-0.4803633753252967,-1.0859375
2472,2019-12-10,2020-06-22,4.0,3.822539654047392,-4.436508648815196,-10.53125
2473,2019-12-10,2020-05-20,3.0,2.7096630188981106,-9.677899370062981,-24.734375
2474,2019-12-10,2020-04-20,2.0,1.7791098540657488,-11.044507296712558,-30.72265625
2475,2019-12-10,2020-03-20,1.0,0.8174238978758592,-18.25761021241408,64.0
2476,2019-12-10,2020-02-20,,,,
2477,2019-12-10,2020-01-20,,,,
2478,2019-12-10,2019-12-20,,,,
2508,2019-11-12,2022-12-20,35.0,32.73516138369243,-6.47096747516449,-3.9052734375
